Land Value,SL_Type2,Year Built,Commercial Building Value,HomeSEV,Homestead Percent,Land Improvements Value,Latitude,Property Zip Code,Longitude,Parcel Acres,Residential Building Value,SL_Type,Lead (ppb)
4959,0,1954,0.0,0,100.0,0,32.819562,48506.0,-96.807295,0.142,14299,1,0.0
18319,0,1939,0.0,0,100.0,0,41.6121463,48503.0,-83.5923502,0.121,90597,1,0.0
1640,0,1952,0.0,9000,100.0,0,37.07206420000001,48506.0,-94.5109475,0.096,57545,5,0.0
17877,0,1942,0.0,18000,100.0,0,43.019594,48503.0,-83.65997800000001,0.115,130230,1,7.0
25156,0,1953,0.0,21200,100.0,0,43.012109,48503.0,-83.668858,0.14300000000000002,112447,1,13.0
629,0,1948,0.0,14900,100.0,0,43.043184100000005,48504.0,-83.7171692,0.10099999999999999,24258,1,13.0
1245,0,1960,0.0,15200,100.0,0,43.064678,48504.0,-83.728889,0.14300000000000002,81162,1,11.0
21453,0,1946,0.0,21100,100.0,0,39.5279089,48503.0,-119.77026090000001,0.138,175940,4,4.0
775,0,1944,0.0,11900,100.0,0,43.031920899999996,48504.0,-83.725335,0.12300000000000001,69303,0,5.0
20853,0,1957,0.0,28400,100.0,866,42.986354799999994,48507.0,-83.70762629999999,0.22399999999999998,28594,1,6.0
850,0,1952,0.0,9900,100.0,0,43.049099,48504.0,-83.722163,0.115,18875,1,110.0
2250,0,1927,0.0,0,100.0,0,43.023848,48504.0,-83.716553,0.115,39996,0,105.0
2200,0,0,0.0,0,0.0,0,43.0051946,48503.0,-83.7286355,0.092,57114,0,29.0
765,0,1956,0.0,8100,100.0,0,43.0735548,48505.0,-83.7120638,0.11900000000000001,52776,1,1.0
922,0,1971,0.0,9800,100.0,0,37.065405,48506.0,-94.51134499999999,0.10800000000000001,101741,5,2.0
14316,0,1953,0.0,18600,100.0,4677,42.989894,48507.0,-83.704284,0.16399999999999998,15361,1,1844.0
771,0,1944,0.0,13200,100.0,0,37.7819826,48504.0,-122.489675,0.121,74092,0,11.0
8550,0,1953,0.0,14000,100.0,0,43.4585254,48506.0,-92.49599520000001,0.10300000000000001,14306,1,2.0
400,0,0,0.0,0,100.0,0,42.9949295,48503.0,-83.67582879999999,0.092,22786,0,3.0
19623,0,1943,0.0,17700,100.0,0,45.5968917,48503.0,-121.1518087,0.138,101765,2,160.0
4187,0,1962,0.0,12300,100.0,508,43.0478691,48506.0,-83.6398482,0.126,18286,1,0.0
10488,0,1927,0.0,10700,100.0,0,43.0164562,48504.0,-83.72007049999999,0.126,67967,5,4.0
3022,0,1961,0.0,12700,100.0,0,43.068589,48504.0,-83.728385,0.14800000000000002,22371,1,1.0
10078,0,0,0.0,7800,100.0,0,42.996089000000005,48503.0,-83.731263,0.22,47201,0,295.0
1243,0,1916,0.0,8100,100.0,0,35.222644,48503.0,-80.831249,0.08800000000000001,17286,11,2.0
1958,0,1937,0.0,4500,100.0,0,43.072562899999994,48505.0,-83.6970524,0.573,19720,1,0.0
18000,0,1927,0.0,21200,100.0,0,43.002767,48503.0,-83.713984,0.159,18090,0,1.0
5000,0,1942,0.0,10900,100.0,0,43.005653,48503.0,-83.73197900000001,0.115,72221,1,2.0
420,0,1929,0.0,0,0.0,0,31.2478701,48506.0,-90.47161080000001,0.10099999999999999,6265,11,5.0
5039,0,1949,0.0,10200,100.0,0,42.997701899999996,48503.0,-83.732182,0.11,62741,1,4.0
18542,0,1974,0.0,32500,100.0,1156,38.641467799999994,48503.0,-77.3440609,0.203,45264,1,0.0
13373,0,1927,0.0,11600,100.0,0,42.985394,48507.0,-83.66772399999999,0.23800000000000002,78677,11,56.0
760,0,1920,0.0,0,100.0,0,43.055287,48505.0,-83.703549,0.115,25961,11,2.0
2700,0,1929,0.0,0,100.0,0,42.989987,48507.0,-83.68650699999999,0.10300000000000001,76211,0,14.0
13200,0,1947,0.0,17500,100.0,0,34.0036602,48504.0,-117.025456,0.138,21717,1,0.0
7924,0,1954,0.0,11300,100.0,0,42.987125,48507.0,-83.6678,0.141,93656,1,0.0
1259,0,1919,0.0,10300,100.0,0,40.5895796,48503.0,-98.37059690000001,0.10099999999999999,19301,11,15.0
5565,0,1979,0.0,12300,100.0,11,29.7218559,48506.0,-95.00623159999999,0.474,19092,1,0.0
17877,0,1947,0.0,19200,100.0,0,34.1233244,48503.0,-117.9897304,0.115,143910,1,3.0
3000,0,1927,0.0,9100,100.0,0,42.989965999999995,48507.0,-83.701236,0.092,44449,1,0.0
17877,0,1941,0.0,14000,100.0,0,32.409040399999995,48503.0,-88.7012407,0.115,115992,1,18.0
8619,0,0,0.0,0,0.0,0,42.418048799999994,48505.0,-91.87016679999999,0.643,0,11,117.0
680,0,1921,0.0,0,100.0,0,43.058177,48505.0,-83.696647,0.092,44404,0,0.0
27042,0,1957,0.0,33500,100.0,550,30.483427000000002,48507.0,-87.30331600000001,0.35600000000000004,27461,5,2.0
