date,tempm,dewptm,pressurem,humidity,precipm
2016-05-16,67.87,37.63,1018.2,0.33,0.0
2016-05-17,61.81,43.48,1021.9,0.51,0.0008
2016-05-18,64.57,32.23,1021.9,0.3,0.0
2016-05-19,69.54,35.28,1021.6,0.28,0.0
2016-05-20,70.2,33.15,1020.8,0.25,0.0
2016-05-21,69.89,39.82,1016.5,0.33,0.0
2016-05-22,70.94,33.21,1016.1,0.25,0.0
2016-05-23,77.68,36.9,1016.7,0.23,0.0
2016-05-24,84.7,45.27,1015.8,0.25,0.0
2016-05-25,83.95,59.97,1016.6,0.44,0.0
2016-05-26,83.22,63.26,1012.1,0.51,0.0
2016-05-27,82.26,64.3,1014.5,0.55,0.0
2016-05-28,86.41,57.89,1015.3,0.38,0.0008
2016-05-29,85.03,62.75,1013.8,0.47,0.0065
2016-05-30,81.52,52.66,1014.8,0.37,0.0
2016-05-31,81.16,44.59,1016.7,0.28,0.0
2016-06-01,82.05,57.85,1013.8,0.44,0.0
2016-06-02,81.49,49.3,1014.7,0.33,0.0
2016-06-03,79.6,50.21,1017.0,0.36,0.0
2016-06-04,74.17,58.31,1010.1,0.58,0.0
2016-06-05,70.64,57.94,1001.1,0.64,0.0157
2016-06-06,78.06,48.6,1001.6,0.36,0.0
2016-06-07,64.0,50.68,1007.6,0.62,0.0
2016-06-08,67.43,40.91,1013.9,0.38,0.0
2016-06-09,73.46,44.39,1016.7,0.35,0.0
2016-06-10,82.36,58.76,1015.6,0.45,0.0
2016-06-11,91.0,66.16,1011.1,0.44,0.0
2016-06-12,76.3,37.09,1017.2,0.24,0.0
2016-06-13,71.52,49.89,1016.3,0.46,0.0
2016-06-14,74.36,49.34,1014.8,0.41,0.0
2016-06-15,83.39,69.31,1007.6,0.63,0.0
2016-06-16,67.89,64.22,1006.0,0.88,0.0036
2016-06-17,85.37,46.32,1017.0,0.26,0.0
2016-06-18,87.33,49.13,1023.6,0.27,0.0
2016-06-19,88.74,54.33,1022.5,0.31,0.0
2016-06-20,88.62,68.26,1014.0,0.51,0.0
2016-06-21,79.91,48.65,1010.9,0.33,0.0
2016-06-22,80.99,55.87,1011.6,0.42,0.0
2016-06-23,72.09,60.01,1012.8,0.66,0.0043
2016-06-24,81.51,43.41,1018.2,0.26,0.0
2016-06-25,85.55,46.76,1020.2,0.26,0.0
2016-06-26,86.55,70.4,1014.4,0.59,0.0
2016-06-27,89.95,51.54,1012.4,0.27,0.0
2016-06-28,67.94,52.71,1017.6,0.58,0.0
2016-06-29,76.91,38.33,1018.0,0.25,0.0
2016-06-30,81.03,38.97,1014.6,0.22,0.0
2016-07-01,73.24,53.58,1015.0,0.5,0.0
2016-07-02,76.6,40.45,1019.8,0.27,0.0
2016-07-03,78.29,47.01,1018.6,0.33,0.0
2016-07-04,77.89,56.51,1012.1,0.48,0.0
2016-07-05,85.15,61.73,1011.0,0.45,0.0
2016-07-06,84.72,67.33,1008.2,0.56,0.0
2016-07-07,88.49,64.8,1009.2,0.46,0.0
2016-07-08,86.73,68.18,1007.2,0.54,0.0
2016-07-09,75.11,61.86,1013.4,0.63,0.0
2016-07-10,82.29,61.18,1017.0,0.49,0.0
2016-07-11,84.99,64.69,1016.0,0.51,0.0
2016-07-12,90.65,68.76,1011.1,0.49,0.0
2016-07-13,87.76,72.34,1011.3,0.6,0.0
2016-07-14,86.62,65.03,1009.1,0.49,0.0
2016-07-15,77.64,62.22,1013.8,0.59,0.0
2016-07-16,73.47,59.93,1019.4,0.63,0.0
2016-07-17,82.82,64.74,1016.3,0.54,0.0
2016-07-18,83.16,61.78,1019.3,0.49,0.0
2016-07-19,84.62,59.93,1022.6,0.43,0.0
2016-07-20,86.0,62.64,1022.2,0.46,0.0
2016-07-21,84.87,71.7,1016.6,0.65,0.0085
2016-07-22,91.99,71.61,1014.3,0.52,0.0005
2016-07-23,93.78,64.59,1014.1,0.38,0.0005
2016-07-24,80.18,73.68,1012.9,0.81,0.0004
2016-07-25,89.42,65.94,1012.7,0.46,0.0
2016-07-26,86.66,61.6,1015.6,0.43,0.0003
2016-07-27,89.84,62.93,1013.8,0.41,0.0
2016-07-28,85.36,66.31,1011.3,0.53,0.0
2016-07-29,80.92,69.11,1013.0,0.67,0.0101
2016-07-30,77.28,69.75,1014.2,0.78,0.0
2016-07-31,82.33,66.96,1015.7,0.6,0.0
2016-08-01,83.84,64.91,1017.5,0.53,0.0
2016-08-02,85.44,65.99,1018.5,0.52,0.0
2016-08-03,87.21,64.97,1017.0,0.48,0.0
2016-08-04,86.6,66.64,1014.5,0.52,0.0023
2016-08-05,87.6,72.09,1009.1,0.6,0.0
2016-08-06,83.06,57.98,1012.8,0.43,0.0002
2016-08-07,82.29,57.3,1016.6,0.43,0.0
2016-08-08,83.47,48.79,1017.9,0.3,0.0
2016-08-09,86.05,66.54,1015.5,0.52,0.0
2016-08-10,93.01,63.84,1017.9,0.38,0.0
2016-08-11,91.75,73.74,1012.8,0.56,0.0
2016-08-12,89.15,74.05,1009.4,0.61,0.0
2016-08-13,79.52,75.87,1008.2,0.89,0.1561
2016-08-14,79.82,67.69,1016.8,0.67,0.0
2016-08-15,75.7,71.23,1020.2,0.86,0.0061
2016-08-16,78.96,69.2,1015.6,0.72,0.0009
2016-08-17,73.53,65.49,1016.6,0.76,0.0211
2016-08-18,82.0,66.46,1017.0,0.59,0.0
2016-08-19,82.5,67.12,1011.7,0.6,0.0031
2016-08-20,80.1,70.19,1004.3,0.72,0.0006
