,tempm,tempm_1,tempm_2,tempm_3,tempm_4,tempm_5,dewptm_1,dewptm_2,dewptm_3,dewptm_4,dewptm_5,pressurem_1,pressurem_2,pressurem_3,pressurem_4,pressurem_5,humidity_1,humidity_2,humidity_3,humidity_4,humidity_5,precipm_1,precipm_2,precipm_3,precipm_4,precipm_5
0,89.63,90.01,89.76,91.25,89.02,86.47,62.53,62.93,68.17,62.05,64.33,1014.6,1016.0,1014.8,1015.7,1013.9,0.4,0.41,0.47,0.41,0.48,0.0,0.0,0.0,0.0,0.0
1,91.74,89.63,90.01,89.76,91.25,89.02,66.61,62.53,62.93,68.17,62.05,1015.1,1014.6,1016.0,1014.8,1015.7,0.47,0.4,0.41,0.47,0.41,0.0047,0.0,0.0,0.0,0.0
2,88.17,91.74,89.63,90.01,89.76,91.25,65.78,66.61,62.53,62.93,68.17,1013.5,1015.1,1014.6,1016.0,1014.8,0.43,0.47,0.4,0.41,0.47,0.0003,0.0047,0.0,0.0,0.0
3,91.59,88.17,91.74,89.63,90.01,89.76,69.92,65.78,66.61,62.53,62.93,1012.6,1013.5,1015.1,1014.6,1016.0,0.55,0.43,0.47,0.4,0.41,0.0389,0.0003,0.0047,0.0,0.0
4,78.04,91.59,88.17,91.74,89.63,90.01,70.69,69.92,65.78,66.61,62.53,1011.1,1012.6,1013.5,1015.1,1014.6,0.51,0.55,0.43,0.47,0.4,0.0048,0.0389,0.0003,0.0047,0.0
5,82.98,78.04,91.59,88.17,91.74,89.63,72.01,70.69,69.92,65.78,66.61,1006.6,1011.1,1012.6,1013.5,1015.1,0.82,0.51,0.55,0.43,0.47,0.043,0.0048,0.0389,0.0003,0.0047
6,79.95,82.98,78.04,91.59,88.17,91.74,63.8,72.01,70.69,69.92,65.78,1008.7,1006.6,1011.1,1012.6,1013.5,0.52,0.82,0.51,0.55,0.43,0.0003,0.043,0.0048,0.0389,0.0003
7,78.55,79.95,82.98,78.04,91.59,88.17,63.07,63.8,72.01,70.69,69.92,1009.2,1008.7,1006.6,1011.1,1012.6,0.56,0.52,0.82,0.51,0.55,0.0028,0.0003,0.043,0.0048,0.0389
8,83.73,78.55,79.95,82.98,78.04,91.59,60.4,63.07,63.8,72.01,70.69,1014.4,1009.2,1008.7,1006.6,1011.1,0.54,0.56,0.52,0.82,0.51,0.0013,0.0028,0.0003,0.043,0.0048
9,87.07,83.73,78.55,79.95,82.98,78.04,60.39,60.4,63.07,63.8,72.01,1017.4,1014.4,1009.2,1008.7,1006.6,0.45,0.54,0.56,0.52,0.82,0.0,0.0013,0.0028,0.0003,0.043
10,76.82,87.07,83.73,78.55,79.95,82.98,65.6,60.39,60.4,63.07,63.8,1016.6,1017.4,1014.4,1009.2,1008.7,0.49,0.45,0.54,0.56,0.52,0.0,0.0,0.0013,0.0028,0.0003
11,85.89,76.82,87.07,83.73,78.55,79.95,70.97,65.6,60.39,60.4,63.07,1014.8,1016.6,1017.4,1014.4,1009.2,0.82,0.49,0.45,0.54,0.56,0.0044,0.0,0.0,0.0013,0.0028
12,88.03,85.89,76.82,87.07,83.73,78.55,65.88,70.97,65.6,60.39,60.4,1018.9,1014.8,1016.6,1017.4,1014.4,0.51,0.82,0.49,0.45,0.54,0.0012,0.0044,0.0,0.0,0.0013
13,81.01,88.03,85.89,76.82,87.07,83.73,71.61,65.88,70.97,65.6,60.39,1014.7,1018.9,1014.8,1016.6,1017.4,0.58,0.51,0.82,0.49,0.45,0.0015,0.0012,0.0044,0.0,0.0
14,84.22,81.01,88.03,85.89,76.82,87.07,75.37,71.61,65.88,70.97,65.6,1008.3,1014.7,1018.9,1014.8,1016.6,0.83,0.58,0.51,0.82,0.49,0.0159,0.0015,0.0012,0.0044,0.0
15,82.61,84.22,81.01,88.03,85.89,76.82,64.44,75.37,71.61,65.88,70.97,1014.2,1008.3,1014.7,1018.9,1014.8,0.52,0.83,0.58,0.51,0.82,0.0,0.0159,0.0015,0.0012,0.0044
16,81.61,82.61,84.22,81.01,88.03,85.89,65.85,64.44,75.37,71.61,65.88,1016.5,1014.2,1008.3,1014.7,1018.9,0.57,0.52,0.83,0.58,0.51,0.0,0.0,0.0159,0.0015,0.0012
17,82.32,81.61,82.61,84.22,81.01,88.03,71.34,65.85,64.44,75.37,71.61,1012.7,1016.5,1014.2,1008.3,1014.7,0.71,0.57,0.52,0.83,0.58,0.0198,0.0,0.0,0.0159,0.0015
18,83.03,82.32,81.61,82.61,84.22,81.01,66.08,71.34,65.85,64.44,75.37,1017.4,1012.7,1016.5,1014.2,1008.3,0.58,0.71,0.57,0.52,0.83,0.0019,0.0198,0.0,0.0,0.0159
19,86.64,83.03,82.32,81.61,82.61,84.22,60.73,66.08,71.34,65.85,64.44,1020.0,1017.4,1012.7,1016.5,1014.2,0.47,0.58,0.71,0.57,0.52,0.0,0.0019,0.0198,0.0,0.0
20,89.75,86.64,83.03,82.32,81.61,82.61,63.71,60.73,66.08,71.34,65.85,1019.1,1020.0,1017.4,1012.7,1016.5,0.46,0.47,0.58,0.71,0.57,0.0,0.0,0.0019,0.0198,0.0
